,address,coordinates
151,"город Москва, Варшавское шоссе, дом 2",37.619683 55.699943
152,"город Москва, Варшавское шоссе, дом 7, корпус 1",37.622405 55.700877
153,"город Москва, Варшавское шоссе, дом 29",37.622792 55.693074
154,"город Москва, Варшавское шоссе, дом 72, корпус 2",37.618767 55.656839
155,"город Москва, Варшавское шоссе, дом 100",37.618812 55.646228
156,"город Москва, Варшавское шоссе, дом 143А",37.599148 55.583953
165,"город Москва, проспект Вернадского, дом 9/10",37.532511 55.690755
166,"город Москва, проспект Вернадского, дом 11/19",37.528882 55.688741
167,"город Москва, проспект Вернадского, дом 11/19",37.528882 55.688741
168,"город Москва, проспект Вернадского, дом 11/19",37.528882 55.688741
169,"город Москва, проспект Вернадского, дом 11/19",37.528882 55.688741
170,"город Москва, проспект Вернадского, дом 13",37.527669 55.687655
173,"город Москва, проспект Вернадского, дом 86, строение 1",37.474534 55.66049
174,"город Москва, проспект Вернадского, дом 93",37.495132 55.667127
175,"город Москва, проспект Вернадского, дом 97, корпус 1",37.491377 55.667152
176,"город Москва, проспект Вернадского, дом 97, корпус 1",37.491377 55.667152
177,"город Москва, проспект Вернадского, дом 103, корпус 1",37.492662 55.663365
178,"город Москва, проспект Вернадского, дом 125",37.482026 55.655478
295,"город Москва, Кутузовский проспект, дом 71",37.452103 55.723719
405,"город Москва, Каширское шоссе, дом 5, корпус 1",37.629071 55.671168
407,"город Москва, Каширское шоссе, дом 46, корпус 1",37.664788 55.647894
408,"город Москва, Каширское шоссе, дом 56, корпус 2",37.669998 55.644775
409,"город Москва, Каширское шоссе, дом 60, корпус 2",37.671579 55.64415
525,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А",37.564904 55.750712
526,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А",37.564904 55.750712
527,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А",37.564904 55.750712
528,"город Москва, Кутузовский проспект, дом 4/2",37.562272 55.750727
529,"город Москва, Кутузовский проспект, дом 8",37.560538 55.749172
530,"город Москва, Кутузовский проспект, дом 17",37.556864 55.746922
531,"город Москва, Кутузовский проспект, дом 21",37.549866 55.744977
532,"город Москва, Кутузовский проспект, дом 30",37.535826 55.741475
533,"город Москва, Кутузовский проспект, дом 30",37.535826 55.741475
534,"город Москва, Кутузовский проспект, дом 41",37.531029 55.738688
541,"город Москва, Ленинградский проспект, дом 2",37.582709 55.778644
542,"город Москва, Ленинградский проспект, дом 10",37.579933 55.779707
543,"город Москва, Ленинградский проспект, дом 11",37.573923 55.780416
544,"город Москва, Ленинградский проспект, дом 12",37.578855 55.780157
545,"город Москва, Ленинградский проспект, дом 12",37.578855 55.780157
546,"город Москва, Ленинградский проспект, дом 24",37.573699 55.782547
547,"город Москва, Ленинградский проспект, дом 24",37.573699 55.782547
548,"город Москва, Ленинградский проспект, дом 33, корпус 3",37.560772 55.787001
549,"город Москва, Ленинградский проспект, дом 33, корпус 4",37.559829 55.78732
550,"город Москва, Ленинградский проспект, дом 35",37.553271 55.790352
551,"город Москва, Ленинградский проспект, дом 48",37.543479 55.796152
552,"город Москва, Ленинградский проспект, дом 48",37.543479 55.796152
553,"город Москва, Ленинградский проспект, дом 48",37.543479 55.796152
554,"город Москва, Ленинградский проспект, дом 56",37.537955 55.79851
555,"город Москва, Ленинградский проспект, дом 60, корпус 1",37.535359 55.799684
556,"город Москва, Ленинградский проспект, дом 62",37.533382 55.801035
557,"город Москва, Ленинградский проспект, дом 62",37.533382 55.801035
558,"город Москва, Ленинградский проспект, дом 62",37.533382 55.801035
559,"город Москва, Ленинградский проспект, дом 66",37.526007 55.802755
560,"город Москва, Ленинградский проспект, дом 66",37.526007 55.802755
561,"город Москва, Ленинградский проспект, дом 74, корпус 1",37.516952 55.805133
562,"город Москва, Ленинградский проспект, дом 74, корпус 1",37.516952 55.805133
563,"город Москва, Ленинградский проспект, дом 74, корпус 1",37.516952 55.805133
564,"город Москва, Ленинградский проспект, дом 74, корпус 6",37.51688 55.806413
565,"город Москва, Ленинградский проспект, дом 77, корпус 2",37.508176 55.805214
566,"город Москва, Ленинградский проспект, дом 78, корпус 1",37.513296 55.806059
567,"город Москва, Ленинградский проспект, дом 78, корпус 1",37.513296 55.806059
582,"город Москва, Ленинский проспект, дом 2А",37.610988 55.728778
583,"город Москва, Ленинский проспект, дом 11, строение 1",37.603945 55.723207
584,"город Москва, Ленинский проспект, дом 13",37.602085 55.722036
585,"город Москва, Ленинский проспект, дом 28",37.588566 55.713451
586,"город Москва, Ленинский проспект, дом 34/1",37.57775 55.707365
587,"город Москва, Ленинский проспект, дом 37",37.585691 55.709956
588,"город Москва, Ленинский проспект, дом 37",37.585691 55.709956
589,"город Москва, Ленинский проспект, дом 37",37.585691 55.709956
590,"город Москва, Ленинский проспект, дом 37",37.585691 55.709956
591,"город Москва, Ленинский проспект, дом 37А",37.58667 55.708607
593,"город Москва, Ленинский проспект, дом 43",37.576277 55.704788
594,"город Москва, Ленинский проспект, дом 57",37.561544 55.696575
595,"город Москва, Ленинский проспект, дом 57",37.561544 55.696575
596,"город Москва, Ленинский проспект, дом 61/1",37.558508 55.694855
597,"город Москва, Ленинский проспект, дом 68/10",37.545833 55.689136
598,"город Москва, Ленинский проспект, дом 68/10",37.545833 55.689136
599,"город Москва, Ленинский проспект, дом 68/10",37.545833 55.689136
600,"город Москва, Ленинский проспект, дом 68/10",37.545833 55.689136
601,"город Москва, Ленинский проспект, дом 68/10",37.545833 55.689136
602,"город Москва, Ленинский проспект, дом 82/2",37.53349 55.680763
603,"город Москва, Ленинский проспект, дом 87",37.533742 55.679346
604,"город Москва, Ленинский проспект, дом 91",37.529789 55.676646
605,"город Москва, Ленинский проспект, дом 95",37.525863 55.673976
606,"город Москва, Ленинский проспект, дом 99",37.518758 55.668635
607,"город Москва, Ленинский проспект, дом 99",37.518758 55.668635
608,"город Москва, Ленинский проспект, дом 148",37.492949 55.655163
681,"город Москва, проспект Мира, дом 5, корпус 1",37.631918 55.774219
682,"город Москва, проспект Мира, дом 29",37.63252 55.779803
683,"город Москва, проспект Мира, дом 29",37.63252 55.779803
684,"город Москва, проспект Мира, дом 31",37.632592 55.780122
685,"город Москва, проспект Мира, дом 40",37.633949 55.780203
686,"город Москва, проспект Мира, дом 47, строение 1",37.633841 55.782982
687,"город Москва, проспект Мира, дом 48, строение 6",37.634344 55.781813
688,"город Москва, проспект Мира, дом 49",37.633859 55.783494
689,"город Москва, проспект Мира, дом 49",37.633859 55.783494
690,"город Москва, проспект Мира, дом 54",37.635098 55.783397
691,"город Москва, проспект Мира, дом 56, строение 2",37.63562 55.784
692,"город Москва, проспект Мира, дом 58",37.63606 55.785392
693,"город Москва, проспект Мира, дом 70",37.635323 55.78812
694,"город Москва, проспект Мира, дом 77, корпус 1",37.634299 55.789937
695,"город Москва, проспект Мира, дом 77, корпус 2",37.633742 55.789932
696,"город Москва, проспект Мира, дом 91, корпус 1",37.635278 55.805356
697,"город Москва, проспект Мира, дом 91, корпус 3",37.635593 55.806894
698,"город Москва, проспект Мира, дом 97",37.636392 55.809231
699,"город Москва, проспект Мира, дом 97",37.636392 55.809231
700,"город Москва, проспект Мира, дом 97",37.636392 55.809231
701,"город Москва, проспект Мира, дом 112",37.637847 55.805943
702,"город Москва, проспект Мира, дом 114Б",37.63835 55.808154
703,"город Москва, проспект Мира, дом 116",37.638 55.808948
704,"город Москва, проспект Мира, дом 118",37.638296 55.810663
705,"город Москва, проспект Мира, дом 118",37.638296 55.810663
706,"город Москва, проспект Мира, дом 118",37.638296 55.810663
707,"город Москва, проспект Мира, дом 120",37.639339 55.811771
708,"город Москва, проспект Мира, дом 124, корпус 4",37.639563 55.815858
709,"город Москва, проспект Мира, дом 180",37.646157 55.823803
710,"город Москва, проспект Мира, дом 186, корпус 1",37.650864 55.829011
938,"город Москва, Профсоюзная улица, дом 2/22",37.572378 55.687477
939,"город Москва, Профсоюзная улица, дом 9",37.568866 55.682422
940,"город Москва, Профсоюзная улица, дом 13/12",37.566467 55.680554
941,"город Москва, Профсоюзная улица, дом 15",37.565335 55.679509
942,"город Москва, Профсоюзная улица, дом 16/10",37.568938 55.68427
943,"город Москва, Профсоюзная улица, дом 16/10",37.568938 55.68427
944,"город Москва, Профсоюзная улица, дом 19",37.564248 55.678458
945,"город Москва, Профсоюзная улица, дом 24, корпус 1",37.564132 55.679813
946,"город Москва, Профсоюзная улица, дом 33, строение 1",37.557233 55.67194
949,"город Москва, Профсоюзная улица, дом 98, корпус 10",37.520141 55.649886
950,"город Москва, Профсоюзная улица, дом 113, корпус 1",37.520285 55.63131
952,"город Москва, Профсоюзная улица, дом 132, корпус 8",37.505319 55.63128
1424,"город Москва, проспект Мира, дом 108",37.637668 55.803519
1433,"город Москва, Ленинградский проспект, дом 77, корпус 4",37.506091 55.805776
1453,"город Москва, Профсоюзная улица, дом 140, корпус 6",37.504025 55.630111
1455,"город Москва, Ленинский проспект, дом 113/1",37.498168 55.655808
1460,"город Москва, Ленинский проспект, дом 121/1, корпус 3",37.484397 55.649251
1473,"город Москва, проспект Мира, дом 33, корпус 1",37.632098 55.780319
1474,"город Москва, проспект Мира, дом 33, корпус 1",37.632098 55.780319
1476,"город Москва, проспект Мира, дом 146",37.642734 55.820855
1477,"город Москва, проспект Мира, дом 146",37.642734 55.820855
1552,"город Москва, проспект Вернадского, дом 82, строение 2",37.475603 55.66734
1562,"город Москва, проспект Вернадского, дом 92",37.473168 55.655285
1568,"город Москва, Кутузовский проспект, дом 33",37.540784 55.741465
1596,"город Москва, Ленинградский проспект, дом 69, строение 1",37.517716 55.802811
1597,"город Москва, Ленинградский проспект, дом 69, строение 1",37.517716 55.802811
1598,"город Москва, Ленинградский проспект, дом 69, строение 1",37.517716 55.802811
1614,"город Москва, Каширское шоссе, дом 122",37.71813 55.605902
1617,"город Москва, Варшавское шоссе, дом 9",37.621669 55.700481
1618,"город Москва, Варшавское шоссе, дом 9",37.621669 55.700481
1622,"город Москва, Варшавское шоссе, дом 152, корпус 2",37.598339 55.591259
1693,"город Москва, Профсоюзная улица, дом 58, корпус 4",37.550504 55.669407
1696,"город Москва, Профсоюзная улица, дом 96",37.527822 55.647468
1698,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192
1699,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192
1700,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192
1701,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192
1702,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192
1703,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192
1708,"город Москва, Ленинский проспект, дом 111, корпус 1",37.509343 55.661328
1709,"город Москва, Профсоюзная улица, дом 25, корпус 1",37.562667 55.674006
1731,"город Москва, проспект Вернадского, дом 94, корпус 1",37.475513 55.652659
1906,"город Москва, Ленинградский проспект, дом 80, корпус 19",37.5114 55.80737
1907,"город Москва, Ленинградский проспект, дом 80, корпус 17",37.511508 55.807951
1908,"город Москва, Ленинградский проспект, дом 80, корпус 17",37.511508 55.807951
1917,"город Москва, Ленинский проспект, дом 4, строение 1А",37.608877 55.727491
1920,"город Москва, проспект Мира, дом 95, строение 3",37.635045 55.807658
1937,"город Москва, проспект Мира, дом 12, строение 1",37.632637 55.774639
1952,"город Москва, Профсоюзная улица, дом 122",37.518102 55.633709
1998,"город Москва, Ленинский проспект, дом 8, корпус 5",37.603451 55.724429
1999,"город Москва, Ленинский проспект, дом 89/2",37.531622 55.677935
2002,"город Москва, Ленинский проспект, дом 105",37.513395 55.665309
2109,"город Москва, Ленинский проспект, дом 65, корпус 2",37.557188 55.692059
2113,"город Москва, Ленинский проспект, дом 65, корпус 1",37.55487 55.692232
2114,"город Москва, Ленинский проспект, дом 65, корпус 1",37.55487 55.692232
2115,"город Москва, Ленинский проспект, дом 4, строение 1",37.609461 55.728287
2116,"город Москва, Ленинский проспект, дом 1/2, корпус 1",37.609901 55.727136
2117,"город Москва, Ленинский проспект, дом 1/2, корпус 1",37.609901 55.727136
2121,"город Москва, Ленинский проспект, дом 9",37.605499 55.72416
2123,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2124,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2125,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2126,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2127,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2128,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2130,"город Москва, Ленинский проспект, дом 8, корпус 23",37.601304 55.724672
2133,"город Москва, Ленинский проспект, дом 2",37.611392 55.729524
2134,"город Москва, Ленинский проспект, дом 2",37.611392 55.729524
2135,"город Москва, Ленинский проспект, дом 2",37.611392 55.729524
2463,"город Москва, Ленинградский проспект, дом 63",37.519755 55.802654
2475,"город Москва, Варшавское шоссе, дом 38",37.623986 55.678047
2478,"город Москва, Варшавское шоссе, дом 116",37.617195 55.633922
2480,"город Москва, Варшавское шоссе, дом 34",37.623483 55.680311
2482,"город Москва, Варшавское шоссе, дом 67",37.621579 55.663918
2484,"город Москва, Варшавское шоссе, дом 129",37.614096 55.614378
2485,"город Москва, Варшавское шоссе, дом 83, строение 1",37.62051 55.655818
2486,"город Москва, Варшавское шоссе, дом 125, корпус 3",37.619513 55.622411
2523,"город Москва, Профсоюзная улица, дом 128, корпус 2",37.515281 55.630441
2524,"город Москва, Профсоюзная улица, дом 128, корпус 3",37.514715 55.630609
2525,"город Москва, Профсоюзная улица, дом 152, корпус 2, строение 2",37.506253 55.622827
2536,"город Москва, Профсоюзная улица, дом 83А",37.529699 55.645258
2537,"город Москва, Профсоюзная улица, дом 4",37.571857 55.68704
2538,"город Москва, Профсоюзная улица, дом 12",37.570123 55.685432
2552,"город Москва, Профсоюзная улица, дом 103А",37.52616 55.635528
2921,"город Москва, проспект Вернадского, дом 82, строение 1",37.47704 55.667259
2922,"город Москва, проспект Вернадского, дом 101, корпус 1",37.488556 55.6657
2923,"город Москва, проспект Вернадского, дом 53",37.502283 55.67325
2924,"город Москва, проспект Вернадского, дом 76, корпус В",37.48817 55.672077
