street,districts
Филипповский переулок,"Россия, Москва, Центральный административный округ, район Арбат, 180-й квартал"
улица Артамонова,"Россия, Москва, Западный административный округ, район Фили-Давыдково"
Бабаевская улица,"Россия, Москва, Восточный административный округ, район Сокольники"
улица Ивана Бабушкина,"Россия, Москва, Юго-Западный административный округ, Академический район"
1-й Балтийский переулок,"Россия, Москва, Северный административный округ, район Аэропорт"
улица Демьяна Бедного,"Россия, Москва, Северо-Западный административный округ, район Хорошёво-Мнёвники"
Будайская улица,"Россия, Москва, Северо-Восточный административный округ, район Ростокино"
Варсонофьевский переулок,"Россия, Москва, Центральный административный округ, Мещанский район"
Васильевская улица,"Россия, Москва, Центральный административный округ, Пресненский район"
Васильевская улица,"Россия, Москва, Центральный административный округ, Пресненский район"
Верхняя улица,"Россия, Москва, Северный административный округ, район Беговой"
Глазовский переулок,"Россия, Москва, Центральный административный округ, район Хамовники, 172-й квартал"
Воротниковский переулок,"Россия, Москва, Центральный административный округ, Тверской район"
2-й Вышеславцев переулок,"Россия, Москва, Северо-Восточный административный округ, район Марьина Роща"
улица Маршала Голованова,"Россия, Москва, Юго-Восточный административный округ, район Марьино"
улица Госпитальный Вал,"Россия, Москва, Юго-Восточный административный округ, район Лефортово, 2-й микрорайон"
Грузинский переулок,"Россия, Москва, Центральный административный округ, Пресненский район"
Грузинский переулок,"Россия, Москва, Центральный административный округ, Пресненский район"
Гурьевский проезд,"Россия, Москва, Южный административный округ, район Орехово-Борисово Южное"
Гурьевский проезд,"Россия, Москва, Южный административный округ, район Орехово-Борисово Южное"
улица Доватора,"Россия, Москва, Центральный административный округ, район Хамовники"
улица Доватора,"Россия, Москва, Центральный административный округ, район Хамовники"
улица Генерала Ермолова,"Россия, Москва, Западный административный округ, район Дорогомилово"
улица Жебрунова,"Россия, Москва, Восточный административный округ, район Сокольники"
бульвар Матроса Железняка,"Россия, Москва, Северный административный округ, район Коптево"
бульвар Матроса Железняка,"Россия, Москва, Северный административный округ, район Коптево"
бульвар Матроса Железняка,"Россия, Москва, Северный административный округ, район Коптево"
бульвар Матроса Железняка,"Россия, Москва, Северный административный округ, район Коптево"
улица Бориса Жигулёнкова,"Россия, Москва, Восточный административный округ, район Соколиная Гора"
улица Жуковского,"Россия, Москва, Центральный административный округ, Басманный район"
2-й Колобовский переулок,"Россия, Москва, Центральный административный округ, Тверской район"
улица Красный Казанец,"Россия, Москва, Восточный административный округ, район Вешняки"
1-й Обыденский переулок,"Россия, Москва, Центральный административный округ, район Хамовники, 143-й квартал"
Кунцевская улица,"Россия, Москва, Западный административный округ, район Кунцево"
улица Лапина,"Россия, Москва, Юго-Восточный административный округ, район Лефортово, 4-й микрорайон"
Лебедянская улица,"Россия, Москва, Южный административный округ, район Бирюлёво Восточное, 6-й микрорайон Загорья"
Малый Лёвшинский переулок,"Россия, Москва, Центральный административный округ, район Хамовники, 157-й квартал"
Лужнецкий проезд,"Россия, Москва, Центральный административный округ, район Хамовники, 527-й квартал"
улица Матросская Тишина,"Россия, Москва, Восточный административный округ, район Сокольники"
Мещанская улица,"Россия, Москва, Центральный административный округ, Мещанский район"
Мирской переулок,"Россия, Москва, Северный административный округ, Савёловский район"
2-й Верхний Михайловский проезд,"Россия, Москва, Южный административный округ, Донской район"
Большой Афанасьевский переулок,"Россия, Москва, Центральный административный округ, район Хамовники, 164-й квартал"
Нагорный бульвар,"Россия, Москва, Юго-Западный административный округ, район Котловка"
Звонарский переулок,"Россия, Москва, Центральный административный округ, Мещанский район"
Нижний Кисельный переулок,"Россия, Москва, Центральный административный округ, Мещанский район"
Новгородская улица,"Россия, Москва, Северо-Восточный административный округ, район Лианозово"
1-й Новокузнецкий переулок,"Россия, Москва, Центральный административный округ, район Замоскворечье"
улица Панфилова,"Россия, Москва, Северный административный округ, район Сокол"
улица Панфилова,"Россия, Москва, Северный административный округ, район Сокол"
улица Панфилова,"Россия, Москва, Северный административный округ, район Сокол"
улица Панфилова,"Россия, Москва, Северный административный округ, район Сокол"
улица Панфилова,"Россия, Москва, Северный административный округ, район Сокол"
улица Панфилова,"Россия, Москва, Северный административный округ, район Сокол"
улица Панфилова,"Россия, Москва, Северный административный округ, район Сокол"
улица Панфилова,"Россия, Москва, Северный административный округ, район Сокол"
улица Панфилова,"Россия, Москва, Северный административный округ, район Сокол"
улица Пивченкова,"Россия, Москва, Западный административный округ, район Фили-Давыдково"
Платовская улица,"Россия, Москва, Западный административный округ, район Дорогомилово"
