Column1,Unnamed: 0,address,districts
0,151,"город Москва, Варшавское шоссе, дом 2","Россия, Москва, Южный административный округ, Донской район"
1,152,"город Москва, Варшавское шоссе, дом 7, корпус 1","Россия, Москва, Южный административный округ, Донской район"
2,153,"город Москва, Варшавское шоссе, дом 29","Россия, Москва, Южный административный округ, Донской район"
3,154,"город Москва, Варшавское шоссе, дом 72, корпус 2","Россия, Москва, Южный административный округ, Нагорный район"
4,155,"город Москва, Варшавское шоссе, дом 100","Россия, Москва, Южный административный округ, Нагорный район"
5,156,"город Москва, Варшавское шоссе, дом 143А","Россия, Москва, Южный административный округ, район Чертаново Южное"
6,165,"город Москва, проспект Вернадского, дом 9/10","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
7,166,"город Москва, проспект Вернадского, дом 11/19","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
8,167,"город Москва, проспект Вернадского, дом 11/19","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
9,168,"город Москва, проспект Вернадского, дом 11/19","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
10,169,"город Москва, проспект Вернадского, дом 11/19","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
11,170,"город Москва, проспект Вернадского, дом 13","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
12,173,"город Москва, проспект Вернадского, дом 86, строение 1","Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
13,174,"город Москва, проспект Вернадского, дом 93","Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
14,175,"город Москва, проспект Вернадского, дом 97, корпус 1","Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
15,176,"город Москва, проспект Вернадского, дом 97, корпус 1","Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
16,177,"город Москва, проспект Вернадского, дом 103, корпус 1","Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
17,178,"город Москва, проспект Вернадского, дом 125","Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
18,295,"город Москва, Кутузовский проспект, дом 71","Россия, Москва, Западный административный округ, район Фили-Давыдково"
19,405,"город Москва, Каширское шоссе, дом 5, корпус 1","Россия, Москва, Южный административный округ, район Нагатино-Садовники"
20,407,"город Москва, Каширское шоссе, дом 46, корпус 1","Россия, Москва, Южный административный округ, район Москворечье-Сабурово"
21,408,"город Москва, Каширское шоссе, дом 56, корпус 2","Россия, Москва, Южный административный округ, район Москворечье-Сабурово"
22,409,"город Москва, Каширское шоссе, дом 60, корпус 2","Россия, Москва, Южный административный округ, район Москворечье-Сабурово"
23,525,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А","Россия, Москва, Западный административный округ, район Дорогомилово"
24,526,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А","Россия, Москва, Западный административный округ, район Дорогомилово"
25,527,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А","Россия, Москва, Западный административный округ, район Дорогомилово"
26,528,"город Москва, Кутузовский проспект, дом 4/2","Россия, Москва, Западный административный округ, район Дорогомилово"
27,529,"город Москва, Кутузовский проспект, дом 8","Россия, Москва, Западный административный округ, район Дорогомилово"
28,530,"город Москва, Кутузовский проспект, дом 17","Россия, Москва, Западный административный округ, район Дорогомилово"
29,531,"город Москва, Кутузовский проспект, дом 21","Россия, Москва, Западный административный округ, район Дорогомилово"
30,532,"город Москва, Кутузовский проспект, дом 30","Россия, Москва, Западный административный округ, район Дорогомилово"
31,533,"город Москва, Кутузовский проспект, дом 30","Россия, Москва, Западный административный округ, район Дорогомилово"
32,534,"город Москва, Кутузовский проспект, дом 41","Россия, Москва, Западный административный округ, район Дорогомилово"
33,541,"город Москва, Ленинградский проспект, дом 2","Россия, Москва, Северный административный округ, район Беговой"
34,542,"город Москва, Ленинградский проспект, дом 10","Россия, Москва, Северный административный округ, район Беговой"
35,543,"город Москва, Ленинградский проспект, дом 11","Россия, Москва, Северный административный округ, район Беговой"
36,544,"город Москва, Ленинградский проспект, дом 12","Россия, Москва, Северный административный округ, район Беговой"
37,545,"город Москва, Ленинградский проспект, дом 12","Россия, Москва, Северный административный округ, район Беговой"
38,546,"город Москва, Ленинградский проспект, дом 24","Россия, Москва, Северный административный округ, район Беговой"
39,547,"город Москва, Ленинградский проспект, дом 24","Россия, Москва, Северный административный округ, район Беговой"
40,548,"город Москва, Ленинградский проспект, дом 33, корпус 3","Россия, Москва, Северный административный округ, район Беговой"
41,549,"город Москва, Ленинградский проспект, дом 33, корпус 4","Россия, Москва, Северный административный округ, район Беговой"
42,550,"город Москва, Ленинградский проспект, дом 35","Россия, Москва, Северный административный округ, район Беговой"
